Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
000009.SZ,148141.0190989201,611918453723,161949.43185678142,9516408545048
000012.SZ,65655.18561834286,314167428595,71128.20921628157,2155465800467
000021.SZ,121828.65766380785,90284251471,131234.92089860095,1127340562099
000027.SZ,60061.28157808655,32818785653,63589.45846659623,201850854776
000031.SZ,33306.474721059945,14690560214,35701.454366119295,50549510350
000039.SZ,128109.64225838307,22370614967,136348.98089600712,295283858762
000050.SZ,95951.27841511952,16904704716,103037.733862338,166914458183
000060.SZ,42363.527123625514,46747908791,45172.66073853974,203538871055
000062.SZ,120772.39143776835,7903361735,129531.20393508996,99180024227
000089.SZ,65832.54770670274,11302949672,70086.71991929977,76586903149
000155.SZ,214179.600804189,72065006210,227861.81188374164,1586554592431
000156.SZ,69944.69702412521,6482151760,75036.16577549695,46584552521
000400.SZ,213126.9286473528,124545960154,229001.59459947323,2749859675487
000401.SZ,89191.28494763847,12605677286,95589.09391254584,115532835721
000402.SZ,53834.03431197282,26313822078,57495.99628019291,145410931821
000415.SZ,20223.359542605915,37776299600,21625.5386212674,78791939891
000513.SZ,306977.4090182837,7082279757,328320.10594916524,223935277081
000519.SZ,324977.91249988956,93441552556,349066.61872843624,3141077392587
000537.SZ,115860.27950927583,92915895771,124915.22522909306,1111358770871
000540.SZ,14877.225166057136,241311698526,15803.467127642027,369890815110
000547.SZ,126644.56821522613,386807560999,135914.71066377326,5053204627050
000553.SZ,106842.06629804778,9603325126,113709.83259575546,105337497855
000559.SZ,59822.525423369385,61952277989,64420.281696731865,381365147298
000563.SZ,29460.001764635304,13645879100,30904.693876981895,41062704784
000581.SZ,186032.0050063493,8531486200,198498.30899743814,164975938707
000591.SZ,80389.53326971507,191740663442,85431.056005196,1583608783110
000598.SZ,47637.13877327462,22664415310,49982.209927654905,110527004374
000623.SZ,136324.24071425782,5111201402,147118.33002194905,71939557643
000629.SZ,60875.19700170598,845624043185,65699.43142953917,5338552168638
000636.SZ,178350.03940148844,58066282285,190928.1391860993,1061450433147
000656.SZ,23609.122271794033,280534851502,25539.301887396286,680558323533
000683.SZ,89063.81704411688,96152446454,94446.03290238109,880148515570
000703.SZ,88429.00941783817,27599133725,94413.02162603418,251882073436
000709.SZ,25405.064975512174,249367940825,26916.5213952078,651133726855
000728.SZ,62704.19600218993,42557612560,66733.55058969338,273299836596
000729.SZ,78583.73966663358,46389331258,84388.67697948769,377290592060
000738.SZ,280193.788235713,59044659609,300507.5025448904,1720667816740
000739.SZ,182862.3355904696,29153065448,196611.9098839818,546968084127
000750.SZ,33362.15244634573,22232380145,35849.99665541762,76542486027
000778.SZ,40397.42646810803,65657115005,43115.731767691475,272009616670
000783.SZ,51399.92398843377,16164524177,54712.373267678304,85591792842
000785.SZ,38784.53784086971,15112221413,41526.21136343434,60680038617
000807.SZ,95706.77235967838,153081768768,101706.16582402325,1502336721041
000825.SZ,47728.00390837823,57429579960,50851.69227342632,281445840602
000830.SZ,133399.37188718008,44547226250,142417.45978701688,611436273127
000831.SZ,280164.9713385285,38948287619,300965.3800897736,1126751458460
000869.SZ,270802.446469152,7793441452,293852.8960522974,220935339957
000878.SZ,111581.11693315412,27940129313,119761.48037198877,322168853232
000883.SZ,47989.41911950608,43030276144,50824.654777854776,212026738687
000887.SZ,201385.30191449268,71512366109,218582.0328435673,1497998990262
000898.SZ,28338.183710133482,79234565128,30596.045594055973,232529362037
000930.SZ,83578.45900425392,16181425720,89335.2518048701,138962224228
000932.SZ,44462.533051980645,82077540725,46483.279945184004,371906989010
000937.SZ,65140.280765231226,131974839971,69055.66897767909,880706354969
000960.SZ,147588.5011387705,64756936973,156304.65530953303,980125045763
