Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
000009.SZ,117450.04585817293,33194500623,126348.67716695645,400004537592
000012.SZ,65055.21456753564,21363502551,69086.71948541516,142915968811
000021.SZ,103927.74015956142,10541816043,111084.80063022388,113421808081
000027.SZ,59000.61969551862,27329895394,62153.270368359255,167302033363
000031.SZ,36400.005970085134,38550019763,38842.12486745931,144866678847
000039.SZ,68003.2910906609,17619361353,72550.15015357269,122825936271
000050.SZ,84403.22445300863,6360442855,89562.79897209976,55257962369
000060.SZ,40055.12509814214,28419825301,42385.464692589776,116547361689
000062.SZ,117083.36268731534,5318842260,125267.8579718663,64351572564
000089.SZ,75656.47751296117,20375002874,80579.42265483299,158984465525
000155.SZ,174602.060587477,14016486280,184828.3524567786,252278812787
000156.SZ,72048.51657444077,11487642399,76440.65058960291,84747425709
000400.SZ,194692.7365210096,26119201095,209026.42875346114,524080538379
000401.SZ,79900.00659556674,7123163469,85005.3383189773,58472394892
000402.SZ,51025.17967356176,43255300468,53936.89938355164,228547640239
000415.SZ,21427.129458309835,41758914950,22440.436667518396,91504988479
000513.SZ,317349.83081018925,14210787220,339748.80514529184,464124106179
000519.SZ,191438.72274082145,47050296721,205281.018187489,929537431733
000537.SZ,128254.35857109306,47420908570,139400.63954767352,633404716449
000540.SZ,14645.823114361596,92087496594,15452.195134825226,138257370783
000547.SZ,90969.14235410446,22978336750,97142.03126774385,214880894753
000553.SZ,87484.88476188591,4705549629,91613.50874143769,42374882815
000559.SZ,47200.734696539745,12501210368,49984.41972599852,60914168410
000563.SZ,29532.144245080115,17202017830,31303.63892278028,51955857438
000581.SZ,171177.04754832792,2641373430,184897.9170220668,46968778613
000591.SZ,71074.73824669923,279908776549,76563.57593264071,2044228348546
000598.SZ,47719.55488256524,16061635653,50166.082252333515,78405782623
000623.SZ,145487.57379729292,7360701572,157177.55221188124,110702535789
000629.SZ,45601.81025864004,140498554557,48895.412000599594,660390679701
000636.SZ,143672.68115727452,10408525645,154416.65570142868,155265655582
000656.SZ,18561.609163796147,234555900129,19548.43816144147,445820898836
000683.SZ,75504.5141328433,51347400674,80563.26380081613,400352015754
000703.SZ,67440.29131506437,35692415023,71415.60716964208,248487424103
000709.SZ,22116.760108616676,71430947763,23107.575117632856,161660068893
000728.SZ,62252.12619239782,51731602353,65610.93251371435,329032026768
000729.SZ,102675.112692093,22190567532,110093.78761921039,233755495933
000738.SZ,250807.96352155056,8264193370,265028.03053794464,213277155173
000739.SZ,209609.1387556672,20682759063,224549.04578091373,448174124373
000750.SZ,32608.22364897813,37479805658,34298.07150242443,124901886967
000778.SZ,35282.190769277426,26886450603,37491.60833193921,97778995875
000783.SZ,52073.980099610344,18028683768,54902.09232520955,95926597349
000785.SZ,39362.45091168457,24157218774,42021.72796405645,97493659484
000807.SZ,107997.77189920754,82474200414,115742.70175271491,917382709912
000825.SZ,42383.49409479062,25864227783,44721.26214352655,112033608988
000830.SZ,121047.34557794477,12533849858,129838.27772908131,155836201626
000831.SZ,321427.07843814517,30450596219,344510.34633055545,1011611826418
000869.SZ,290630.9242738314,1527032533,310558.7910162309,45954782404
000878.SZ,114475.74493723418,23651320194,121440.2363910564,278411228338
000883.SZ,40945.18128417022,24367124800,43306.526913723006,102018310408
000887.SZ,142071.18743128885,43328798637,152114.90570357133,641082279630
000898.SZ,25867.35736839957,28561358582,27246.926697646348,76227467913
000930.SZ,80241.1508924176,13146205300,86190.57040118013,109179786316
000932.SZ,45911.60261424057,43224607748,48302.867882285725,203038506252
000937.SZ,61921.53834617094,27417689293,66042.0605360683,175047120159
000960.SZ,135326.07676009825,48957349260,144344.0058131111,683700405620
000961.SZ,21235.765919011537,87085552696,22554.78254861813,190427923053
000967.SZ,44175.78899659392,5033583200,46606.82963938043,22847894436
000987.SZ,58628.872053049774,11984287193,62578.70053450741,72016720839
000988.SZ,159099.74458547094,12660113784,168169.78156958817,207184778219
000990.SZ,84549.7166222416,4121651807,90016.23499036845,35649558045
000997.SZ,126625.08707284214,5388613297,134836.85451280948,70078980790
000998.SZ,154115.8802423527,52434785459,167023.99702176094,838765821051
000999.SZ,452384.56164076726,31248652582,484943.1516612532,1464855892252
001203.SZ,125933.2084722891,15018340948,133569.68294700375,195634743698
001872.SZ,137746.4293614081,1480309604,147135.62459083844,21086678629
001914.SZ,149420.7669352582,4376580688,163608.37638631157,68263015808
002002.SZ,31792.67725925791,28324328623,33735.00066741387,91739275261
002010.SZ,51651.357021614094,13817531206,54703.54620906174,73577698708
002019.SZ,119297.06478273823,5957312233,130889.88134641144,73030521495
002025.SZ,633180.5641912984,6733025253,683183.9957806803,440726226229
002028.SZ,371077.2951009944,7333521865,396619.4884234829,283929618850
002030.SZ,151395.8606076378,15905678138,160978.12923049385,247343448372
