symbol,BSflag,dataIdx,volume
000009.SZ,B,1097,20
000009.SZ,B,455639,20
000009.SZ,B,883981,20
000009.SZ,B,1289475,20
000009.SZ,B,1700862,20
000009.SZ,S,1097,10
000009.SZ,S,233216,10
000009.SZ,S,455639,10
000009.SZ,S,669881,10
000009.SZ,S,883981,10
000009.SZ,S,1085710,10
000009.SZ,S,1289475,10
000009.SZ,S,1494187,10
000009.SZ,S,1700862,10
000009.SZ,S,1914550,10
000012.SZ,B,1123,20
000012.SZ,B,455636,20
000012.SZ,B,883593,20
000012.SZ,B,1289436,20
000012.SZ,B,1700864,20
000012.SZ,S,1123,10
000012.SZ,S,233214,10
000012.SZ,S,455636,10
000012.SZ,S,669889,10
000012.SZ,S,883593,10
000012.SZ,S,1085709,10
000012.SZ,S,1289436,10
000012.SZ,S,1494206,10
000012.SZ,S,1700864,10
000012.SZ,S,1914548,10
000021.SZ,B,1117,20
000021.SZ,B,455640,20
000021.SZ,B,883551,20
000021.SZ,B,1289472,20
000021.SZ,B,1701325,20
000021.SZ,S,1117,10
000021.SZ,S,233215,10
000021.SZ,S,455640,10
000021.SZ,S,670331,10
000021.SZ,S,883551,10
000021.SZ,S,1085707,10
000021.SZ,S,1289472,10
000021.SZ,S,1494175,10
000021.SZ,S,1701325,10
000021.SZ,S,1914635,10
000027.SZ,B,1122,20
000027.SZ,B,455637,20
000027.SZ,B,884438,20
000027.SZ,B,1289431,20
000027.SZ,B,1700863,20
000027.SZ,S,1122,10
000027.SZ,S,233256,10
000027.SZ,S,455637,10
000027.SZ,S,669893,10
000027.SZ,S,884438,10
000027.SZ,S,1085708,10
000027.SZ,S,1289431,10
000027.SZ,S,1494207,10
000027.SZ,S,1700863,10
000027.SZ,S,1914566,10
000031.SZ,B,1120,20
000031.SZ,B,455635,20
000031.SZ,B,883513,20
000031.SZ,B,1289429,20
000031.SZ,B,1700865,20
000031.SZ,S,1120,10
000031.SZ,S,233217,10
000031.SZ,S,455635,10
000031.SZ,S,669887,10
000031.SZ,S,883513,10
000031.SZ,S,1085712,10
000031.SZ,S,1289429,10
000031.SZ,S,1494173,10
000031.SZ,S,1700865,10
000031.SZ,S,1914549,10
000039.SZ,B,1119,20
000039.SZ,B,455642,20
000039.SZ,B,883601,20
000039.SZ,B,1289476,20
000039.SZ,B,1700859,20
000039.SZ,S,1119,10
000039.SZ,S,233266,10
000039.SZ,S,455642,10
000039.SZ,S,669902,10
000039.SZ,S,883601,10
000039.SZ,S,1085711,10
000039.SZ,S,1289476,10
000039.SZ,S,1494217,10
000039.SZ,S,1700859,10
000039.SZ,S,1915089,10
000050.SZ,B,1115,20
000050.SZ,B,457015,20
000050.SZ,B,884023,20
000050.SZ,B,1290209,20
000050.SZ,B,1701759,20
000050.SZ,S,1115,10
000050.SZ,S,233767,10
000050.SZ,S,457015,10
000050.SZ,S,669892,10
000050.SZ,S,884023,10
000050.SZ,S,1085541,10
000050.SZ,S,1290209,10
000050.SZ,S,1494208,10
000050.SZ,S,1701759,10
000050.SZ,S,1914641,10
000060.SZ,B,1116,20
000060.SZ,B,455644,20
000060.SZ,B,884852,20
000060.SZ,B,1289478,20
000060.SZ,B,1700858,20
000060.SZ,S,1116,10
000060.SZ,S,233321,10
000060.SZ,S,455644,10
000060.SZ,S,669898,10
000060.SZ,S,884852,10
000060.SZ,S,1085543,10
000060.SZ,S,1289478,10
000060.SZ,S,1494668,10
000060.SZ,S,1700858,10
000060.SZ,S,1914651,10
000062.SZ,B,1118,20
000062.SZ,B,455638,20
000062.SZ,B,884443,20
000062.SZ,B,1290656,20
000062.SZ,B,1701316,20
000062.SZ,S,1118,10
000062.SZ,S,235615,10
000062.SZ,S,455638,10
000062.SZ,S,671169,10
000062.SZ,S,884443,10
000062.SZ,S,1085378,10
000062.SZ,S,1290656,10
000062.SZ,S,1494654,10
000062.SZ,S,1701316,10
000062.SZ,S,1914608,10
000089.SZ,B,1113,20
000089.SZ,B,455643,20
000089.SZ,B,883583,20
000089.SZ,B,1289470,20
000089.SZ,B,1700872,20
000089.SZ,S,1113,10
000089.SZ,S,233268,10
000089.SZ,S,455643,10
000089.SZ,S,669895,10
000089.SZ,S,883583,10
000089.SZ,S,1085448,10
000089.SZ,S,1289470,10
000089.SZ,S,1494209,10
000089.SZ,S,1700872,10
000089.SZ,S,1914647,10
000155.SZ,B,1124,20
000155.SZ,B,455645,20
